customer_sk,full_name,city,source_system,company,company_code,recency_days,frequency,monetary_syp,r_score,f_score,m_score,rfm_code,segment
1,محمد الأحمد,Tartus,SYRIATEL,Syriatel,SYRIATEL,0,6,180000.00,5,2,1,521,Other
2,أحمد المصري,Quneitra,SYRIATEL,Syriatel,SYRIATEL,103,9,600000.00,1,4,4,144,At Risk
3,محمد الطرابلسي,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,54,7,379000.00,2,3,2,232,At Risk
4,سامي الزعبي,Homs,SYRIATEL,Syriatel,SYRIATEL,54,7,401000.00,2,3,2,232,At Risk
5,بشار العلي,Al-Hasakah,SYRIATEL,Syriatel,SYRIATEL,18,7,396000.00,4,3,2,432,Loyal
6,سامي الحسن,Quneitra,SYRIATEL,Syriatel,SYRIATEL,42,14,644000.00,3,5,4,354,Loyal
7,ليلى السيد,Al-Hasakah,SYRIATEL,Syriatel,SYRIATEL,1,12,1006000.00,5,5,5,555,Champions
8,علي الحسن,Idlib,SYRIATEL,Syriatel,SYRIATEL,1,62,3331000.00,5,5,5,555,Champions
9,سامي المصري,Raqqa,SYRIATEL,Syriatel,SYRIATEL,31,6,710000.00,3,2,4,324,Other
10,ريم الشامي,Damascus,SYRIATEL,Syriatel,SYRIATEL,29,5,410000.00,3,1,2,312,Other
11,طارق العلي,Idlib,SYRIATEL,Syriatel,SYRIATEL,34,7,328000.00,3,3,2,332,Loyal
12,سامي الكيلاني,Raqqa,SYRIATEL,Syriatel,SYRIATEL,35,12,464000.00,3,5,3,353,Loyal
13,هدى الدمشقي,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,51,4,120000.00,2,1,1,211,Other
14,حسن البرازي,Idlib,SYRIATEL,Syriatel,SYRIATEL,28,7,755000.00,3,3,4,334,Loyal
15,سليمان الحسن,Idlib,SYRIATEL,Syriatel,SYRIATEL,38,3,243000.00,3,1,1,311,Other
16,إبراهيم الطرابلسي,Aleppo,SYRIATEL,Syriatel,SYRIATEL,52,9,770000.00,2,4,5,245,At Risk
17,سليمان الدمشقي,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,20,11,583000.00,4,5,4,454,Champions
18,مصطفى السوري,Idlib,SYRIATEL,Syriatel,SYRIATEL,19,10,756000.00,4,4,5,445,Champions
19,نور الرفاعي,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,35,12,503000.00,3,5,3,353,Loyal
20,حسين العظمة,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,3,7,408000.00,5,3,2,532,Loyal
21,يوسف الجابري,Tartus,SYRIATEL,Syriatel,SYRIATEL,13,7,366000.00,4,3,2,432,Loyal
22,إبراهيم السيد,Raqqa,SYRIATEL,Syriatel,SYRIATEL,136,6,473000.00,1,2,3,123,Lost
23,نزار البرازي,Damascus,SYRIATEL,Syriatel,SYRIATEL,30,11,941000.00,3,5,5,355,Loyal
24,فاطمة الحلبي,Daraa,SYRIATEL,Syriatel,SYRIATEL,2,64,4562000.00,5,5,5,555,Champions
25,يوسف البيطار,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,6,8,565000.00,5,3,4,534,Loyal
26,عائشة العظمة,Quneitra,SYRIATEL,Syriatel,SYRIATEL,82,13,1108000.00,1,5,5,155,At Risk
27,عمر الكردي,Al-Hasakah,SYRIATEL,Syriatel,SYRIATEL,3,7,264000.00,5,3,1,531,Loyal
28,ماهر الشامي,Aleppo,SYRIATEL,Syriatel,SYRIATEL,45,19,986000.00,3,5,5,355,Loyal
29,عائشة الزعبي,Idlib,SYRIATEL,Syriatel,SYRIATEL,66,10,483000.00,2,5,3,253,At Risk
30,نزار البرازي,Tartus,SYRIATEL,Syriatel,SYRIATEL,21,11,887000.00,4,5,5,455,Champions
31,فاطمة السوري,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,1,8,305000.00,5,3,2,532,Loyal
32,ماهر الجابري,Daraa,SYRIATEL,Syriatel,SYRIATEL,3,7,541000.00,5,3,3,533,Loyal
33,سارة الشامي,Al-Hasakah,SYRIATEL,Syriatel,SYRIATEL,15,70,4942000.00,4,5,5,455,Champions
34,طارق الأحمد,Raqqa,SYRIATEL,Syriatel,SYRIATEL,17,7,570000.00,4,3,4,434,Loyal
35,ماهر المصري,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,7,6,243000.00,5,2,1,521,Other
36,أحمد الحسن,Aleppo,SYRIATEL,Syriatel,SYRIATEL,91,5,383000.00,1,1,2,112,Lost
37,يوسف البيطار,Homs,SYRIATEL,Syriatel,SYRIATEL,89,4,143000.00,1,1,1,111,Lost
38,كريم الطرابلسي,Aleppo,SYRIATEL,Syriatel,SYRIATEL,60,6,456000.00,2,2,3,223,Other
39,أيمن المصري,Idlib,SYRIATEL,Syriatel,SYRIATEL,246,2,170000.00,1,1,1,111,Lost
40,وليد الزعبي,Rif Dimashq,SYRIATEL,Syriatel,SYRIATEL,3,66,4831000.00,5,5,5,555,Champions
41,هدى الطرابلسي,Latakia,SYRIATEL,Syriatel,SYRIATEL,15,6,853000.00,4,2,5,425,Other
42,مصطفى الحمصي,Latakia,SYRIATEL,Syriatel,SYRIATEL,66,9,544000.00,2,4,3,243,At Risk
43,نزار الجابري,Latakia,SYRIATEL,Syriatel,SYRIATEL,109,9,378000.00,1,4,2,142,At Risk
44,يوسف الطرابلسي,Tartus,SYRIATEL,Syriatel,SYRIATEL,69,7,129000.00,2,3,1,231,At Risk
45,علي اللاذقاني,Quneitra,SYRIATEL,Syriatel,SYRIATEL,14,6,421000.00,4,2,3,423,Other
46,طارق الأحمد,Homs,SYRIATEL,Syriatel,SYRIATEL,43,10,823000.00,3,5,5,355,Loyal
47,وليد الخطيب,Daraa,SYRIATEL,Syriatel,SYRIATEL,17,10,1080000.00,4,5,5,455,Champions
48,زينب الكيلاني,Rif Dimashq,SYRIATEL,Syriatel,SYRIATEL,65,7,645000.00,2,3,4,234,At Risk
49,سارة الجابري,Raqqa,SYRIATEL,Syriatel,SYRIATEL,35,5,275000.00,3,1,1,311,Other
50,سارة المصري,Aleppo,SYRIATEL,Syriatel,SYRIATEL,41,9,638000.00,3,4,4,344,Loyal
51,طارق العلي,Homs,SYRIATEL,Syriatel,SYRIATEL,53,7,420000.00,2,3,3,233,At Risk
52,كريم العمر,Latakia,SYRIATEL,Syriatel,SYRIATEL,14,6,208000.00,4,2,1,421,Other
53,بشار الكيلاني,Idlib,SYRIATEL,Syriatel,SYRIATEL,26,8,880000.00,3,3,5,335,Loyal
54,هدى الشامي,Daraa,SYRIATEL,Syriatel,SYRIATEL,86,6,708000.00,1,2,4,124,Lost
55,حسن اللاذقاني,Homs,SYRIATEL,Syriatel,SYRIATEL,5,6,495000.00,5,2,3,523,Other
56,إبراهيم الحسن,Aleppo,SYRIATEL,Syriatel,SYRIATEL,50,7,438000.00,2,3,3,233,At Risk
57,فاطمة المصري,Idlib,SYRIATEL,Syriatel,SYRIATEL,28,9,353000.00,3,4,2,342,Loyal
58,علي الدمشقي,Hama,SYRIATEL,Syriatel,SYRIATEL,63,4,278000.00,2,1,2,212,Other
59,مصطفى العظمة,Tartus,SYRIATEL,Syriatel,SYRIATEL,170,3,195000.00,1,1,1,111,Lost
60,سارة الطرابلسي,Damascus,SYRIATEL,Syriatel,SYRIATEL,75,7,720000.00,2,3,4,234,At Risk
61,بشار العظمة,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,9,61,4575000.00,5,5,5,555,Champions
62,ماهر العظمة,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,1,15,684000.00,5,5,4,554,Champions
63,ماهر الشامي,Tartus,SYRIATEL,Syriatel,SYRIATEL,40,6,585000.00,3,2,4,324,Other
64,محمد المصري,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,3,7,321000.00,5,3,2,532,Loyal
65,فاطمة الجابري,Latakia,SYRIATEL,Syriatel,SYRIATEL,3,11,466000.00,5,5,3,553,Loyal
66,فاطمة الخطيب,Hama,SYRIATEL,Syriatel,SYRIATEL,1,8,663000.00,5,3,4,534,Loyal
67,بشار الطرابلسي,Idlib,SYRIATEL,Syriatel,SYRIATEL,48,8,788000.00,2,3,5,235,At Risk
68,وليد المصري,Homs,SYRIATEL,Syriatel,SYRIATEL,59,9,690000.00,2,4,4,244,At Risk
69,مصطفى الرفاعي,Daraa,SYRIATEL,Syriatel,SYRIATEL,2,8,291000.00,5,3,2,532,Loyal
70,علي العمر,Quneitra,SYRIATEL,Syriatel,SYRIATEL,11,9,800000.00,4,4,5,445,Champions
71,حسين السوري,Tartus,SYRIATEL,Syriatel,SYRIATEL,6,61,4389000.00,5,5,5,555,Champions
72,فاطمة الخطيب,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,3,6,455000.00,5,2,3,523,Other
73,فاطمة القباني,Hama,SYRIATEL,Syriatel,SYRIATEL,78,5,235000.00,2,1,1,211,Other
74,هدى الحسن,Quneitra,SYRIATEL,Syriatel,SYRIATEL,47,7,338000.00,2,3,2,232,At Risk
75,مصطفى الأحمد,Daraa,SYRIATEL,Syriatel,SYRIATEL,14,5,310000.00,4,1,2,412,New
76,سليمان الحمصي,Deir ez-Zor,SYRIATEL,Syriatel,SYRIATEL,24,4,320000.00,3,1,2,312,Other
77,نزار البرازي,Hama,SYRIATEL,Syriatel,SYRIATEL,18,5,151000.00,4,1,1,411,New
78,ماهر الحسن,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,55,8,345000.00,2,3,2,232,At Risk
79,نزار الجابري,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,21,10,394000.00,4,5,2,452,Loyal
80,فاطمة السوري,Hama,SYRIATEL,Syriatel,SYRIATEL,13,5,430000.00,4,1,3,413,New
81,مصطفى الشامي,As-Suwayda,SYRIATEL,Syriatel,SYRIATEL,3,9,988000.00,5,4,5,545,Champions
82,علي الحمصي,Latakia,SYRIATEL,Syriatel,SYRIATEL,17,5,418000.00,4,1,3,413,New
83,نور الأحمد,Homs,SYRIATEL,Syriatel,SYRIATEL,39,9,555000.00,3,4,4,344,Loyal
84,محمد الحسن,Aleppo,SYRIATEL,Syriatel,SYRIATEL,1,7,875000.00,5,3,5,535,Loyal
85,زينب السيد,Tartus,SYRIATEL,Syriatel,SYRIATEL,45,11,1050000.00,3,5,5,355,Loyal
86,سليمان الكردي,Homs,SYRIATEL,Syriatel,SYRIATEL,69,9,338000.00,2,4,2,242,At Risk
87,علي الجابري,Idlib,SYRIATEL,Syriatel,SYRIATEL,37,4,203000.00,3,1,1,311,Other
